"","TNZ_1","WS_2","WT_1","WT_10","WT_11","WT_12","WT_13","WT_14","WT_15","WT_16","WT_17","WT_18","WT_19","WT_2","WT_21","WT_22","WT_23","WT_24","WT_25","WT_26","WT_27","WT_28","WT_29","WT_3","WT_30","WT_31","WT_34","WT_36","WT_38","WT_39","WT_4","WT_40","WT_41","WT_42","WT_44","WT_45","WT_46","WT_47","WT_48","WT_49","WT_5","WT_50","WT_51","WT_52","WT_54","WT_55","WT_56","WT_57","WT_58","WT_59","WT_6","WT_61","WT_62","WT_64","WT_65","WT_66","WT_68","WT_69","WT_71","WT_73","WT_74","WT_76","WT_77","WT_78","WT_9"
"AT1G01100",38.32,574.57,588.21,345.06,525.33,647.85,407.81,533.4,515.27,511.58,689.95,537.96,525.9,481.66,32.92,599.93,564.99,471.1,569.87,519.29,545.75,608.07,543.51,510.18,491.55,640.34,557.03,514.01,20.82,28.99,599.5,482.4,575.4,20.23,605.34,590.1,476.84,669.32,64.83,16.88,634.72,18.45,574.91,17.35,593.06,598.97,32.46,568.02,14.21,19.05,619.93,28.83,620.87,515.59,568.05,456.65,568.5,27.87,643.77,543.99,23.1,17.87,20.17,695.27,577.89
"AT1G01120",58.25,68.98,37.16,20.05,47.53,53,24.18,39.09,25.23,50.86,31.39,35.8,82.91,44.18,32.59,36.17,87.48,74,67.15,72.02,76.54,105.65,57.81,39.9,44.66,65.71,91.15,87.48,29.38,29.29,41.02,90.54,59.89,50.25,55.85,40.09,43.93,58.76,60.9,19,36.97,15.25,44.26,37.01,66.74,68.95,19.72,38.02,18.8,22.43,39.68,19.56,64.49,32.07,51.14,51.87,35.26,17.88,48.92,42.73,17.89,24.81,19.75,64.65,56.82
"AT1G01470",127.18,104.04,115.77,145.84,141.41,144,146.59,146.09,118.36,174.56,113.79,120.78,123.28,184.23,113.8,169.04,189.34,135.99,151.29,215.9,177.54,145.55,164.6,129.67,204.22,194.15,167.13,158.19,179.6,146,124.27,266.61,152.98,116.45,127.32,197.95,158.3,156.96,127.07,126.09,126.79,153.16,178.03,105.3,151,140.86,137.84,149.38,146.37,41.14,123.5,109.16,173.72,120.06,177.77,154.18,211.13,134.69,139.11,205.98,110.14,87.54,121.6,146.9,158.33
"AT1G01490",20.87,56.87,66.34,47.16,59.62,62.41,49.59,54.92,52.81,63.64,52.18,69.69,70.26,64.01,21.96,55.75,49.75,63.66,54.92,61.13,73.76,61.28,46.76,60.96,52.88,64.26,73.41,73.69,22.18,24.5,56.03,79.41,68.09,30.43,57.87,58.82,47.63,83.36,34.2,33.8,56.19,25.84,73.35,25.94,67.44,64.22,32.11,68.47,26.76,26.77,54.68,17.31,66.61,67.58,68.59,71.14,68.06,25.37,59.59,64.02,32.43,18.5,31.32,67.01,44.9
"AT1G01540",24.09,105.35,110.68,64.62,87.59,113.67,59.52,108.53,69.74,99.85,110.83,86.95,107.69,102.46,20.58,95.95,95.09,100.04,92.71,94.42,116.63,126.97,94.06,88.89,108.18,95.27,120.74,96.43,20.53,22.27,102.31,106.64,103.1,22.91,103.06,88.74,78.17,86.26,28.57,13.6,101.4,17.53,117.39,19.68,67.46,103.79,16.41,72.41,16.35,18.95,95.36,22.37,85.56,83.36,92.44,100.25,84.99,12.96,94.59,112.04,19.03,22.04,19.34,88.07,95.72
"AT1G01610",178.18,86.33,77.5,79.12,88.28,68.87,78.69,76.25,76.09,73.71,63.33,66.66,87.69,65.94,153,76.1,93.45,85.58,96.56,90.61,98.11,102.95,87.54,73.02,88.91,86.77,87.11,106.11,160.46,127.18,71.74,79.49,81.34,138.59,83.19,70.28,87.54,67.36,143.39,89.7,73.22,111.34,73.06,129.45,73.92,80.67,112.6,58.29,133.05,140.92,71.39,128.21,75.22,68.24,72.02,82.28,71.11,116.12,65.03,76.09,128.31,124.03,119,79.82,89.68
"AT1G01620",679.02,633.15,808.34,838.77,845.13,854.09,799.01,729.78,537.3,985.74,768.3,954.5,796.61,823.24,1230.77,681.84,892.6,879.19,752.72,998.3,776.56,780.97,936.27,767.42,720.22,741.88,692.16,740.41,944.12,902.39,751.25,869.43,653.38,1031.5,681.38,684.2,764.47,522.69,705.34,706.32,678.35,874.88,866.34,1079.39,720.89,715.23,861.71,772.19,978.45,1016.91,661.19,947.24,560.62,700.38,796.72,976.82,969.47,888.31,810.86,942.58,1008.02,1073.12,1216.96,611.97,785.97
"AT1G01630",109.08,44.54,36.12,30.26,30.69,26.21,29.83,28.19,31.25,29.06,25.65,23.2,51.5,32.02,48.18,28.36,31.09,41.93,37.76,33.93,51.58,56.32,40.62,24.87,30.08,25.81,58.09,46.87,66.65,52.92,24.01,52.84,53.9,62.36,40.7,26.43,40.63,36.7,68.7,47.33,27.98,38.78,34.64,55.26,44.52,63.53,32.5,27.9,31.85,48.21,25.6,35.98,31.42,41.02,29.45,28.99,29.63,40.59,29.1,30.66,39.8,35.76,37.39,37.95,27.68
"AT1G01720",29.7,22.04,28.92,35.7,22.76,29.41,38.74,31.6,29.43,25.99,22.46,28.05,30.13,27.15,26.16,25.23,27.11,24.8,26.29,33.97,25.82,29.6,22.27,25.77,37.27,22.95,24.98,33.95,33.63,24.02,25.19,30.06,40.65,25.91,22.61,31.03,30.47,41.43,20.07,32.66,24.7,43.32,25.92,25.85,26.8,16.91,20.28,31.41,18.47,17.43,27.26,21.05,34.98,36.36,22.48,23.71,26.03,35.35,23.98,23.45,24.94,27.5,20.23,48.94,26.96
"AT1G01940",78.26,70.18,26.57,28.96,34.69,30.45,38.82,27.95,33.49,25.15,28.34,24.49,40.8,47.1,37.71,30.86,36.88,28.57,43.44,36.39,44.56,30.82,34.6,34.52,35.38,65.63,41.11,39.4,35.81,28.24,34.05,49.49,39.57,46.41,53.93,46.76,65.36,43.68,35.83,44.85,34.94,39.61,22.59,28.17,34.46,45.58,44.07,42.69,56.86,29.64,38.3,34.55,55.51,47.41,31.14,32.95,42.97,40.51,31.16,27.43,52.98,42.5,35.28,54.58,34.44
"AT1G01990",22.39,8.87,10.06,11.93,10.54,8.31,16.45,10.58,10.35,9.17,10.41,11.17,8.32,7.49,14.46,7.88,8.39,12.3,7.82,7.35,5.24,7.02,8.49,9.01,7.75,11.37,11.09,9.04,16.06,15.59,10.17,15.2,14.31,14.71,13.3,11.67,13.58,14.6,17.9,16.94,8.28,15.45,10.16,17.45,9.86,11.17,16.78,9.53,15.98,15.66,8.25,10.78,12.44,17.11,12.23,8.63,11.16,17.44,9.69,12.12,11.48,19.42,17.07,8.87,9.76
"AT1G02110",43.68,18.62,18.71,22.55,23.72,21.39,23.67,17.43,24.66,19.51,15.61,14.97,16.93,22.76,34.98,21.42,16.32,28.91,21.94,22.38,21.91,22.59,22.89,14.14,25.06,21.52,19.04,26.13,36.86,26.14,17.56,16.7,20.08,27.13,18.3,16.72,27.99,13.78,29.42,26.01,18.86,34.16,19.39,32.17,24.62,18.13,30.84,14.35,23.88,32.72,20.88,36.7,17.23,22.83,16.11,16.09,23.02,33.8,18.12,18.33,39.22,32.68,24.62,17.04,26.13
"AT1G02300",11.13,56.77,63.35,42.72,60.17,55.67,37.45,66.61,53.6,49.21,43.34,54.83,46.42,62.57,14.28,48.94,45.48,11.3,50.99,49.23,54.5,56.34,55.95,54.02,62.74,60.85,49.54,56.61,15.02,16.16,50.88,60.77,63.15,21.18,54.17,51.02,36.31,51.67,20.43,14.64,55.65,16.11,54.93,12.73,41.71,63.48,18.69,57.27,10.16,9.32,54.52,19.33,50.51,41.88,57.3,47.99,61.87,12.96,62.1,61.66,14.69,14.88,16.58,47.91,49.69
"AT1G02680",9.62,21.25,28.58,17.76,26.6,24.64,25.27,26.94,25.43,23.91,23.81,20.14,17.66,24.4,10.87,25.03,22.84,7.43,20.8,25.13,40.38,24.49,22.39,20.71,24.22,28.96,19.53,27.91,10.74,12.48,22.56,20.63,19.66,8.64,23.08,18.23,20.91,14.01,10.01,15.21,29.74,10.4,25.71,10.3,18.64,20.93,9.69,24.49,10.44,13.24,19.84,13.8,20.09,18.13,21.72,25.1,28.2,11.63,24.46,26.45,15.07,8.54,11.9,17.73,25.78
"AT1G02750",5.62,24.76,32.71,21.53,29.11,30.31,27.5,26.22,29.87,27.5,28.4,29.58,33.18,31.04,12.09,28.84,29.42,6.74,22.76,19.72,43.55,30.3,26.06,26.58,29.33,24.63,27.09,27.82,8.9,9.21,23.79,25.46,32.25,8.2,24.14,27.21,24.47,47.56,12.87,16.05,34.2,6.86,32.38,11.83,27.21,26.95,10.91,32.38,10.64,11.12,26.7,11.15,31.01,28.8,29.65,27.82,34.63,15.11,28.36,28.23,14.06,10.95,11.86,23.13,22.31
"AT1G02780",240.02,797.63,738.47,571.13,678.13,779.69,583.1,769.2,788.29,667.12,835.82,642.43,700.61,773.53,163.53,708.81,696.94,115.3,636.59,623.53,549.77,740.3,658.97,689.23,638.62,740.5,730.19,674.3,188.15,193.21,786.73,705.84,820.3,158.83,669.4,768.48,622.26,812.04,204.34,234.4,782.82,189.91,771.18,174.76,761.56,730.12,199.25,757.89,166.43,235.41,814.59,203.53,815.88,735.19,754.07,618.52,773.95,207.41,804.56,730.44,172.08,174.96,144.68,866.84,756.78
